"Country","Count.Var1","Count.Freq"
"AASIASSA","Aasiassa",1
"AFGHANISTAN","Afghanistan",1
"AFRICA","Africa",2
"ALBANIA","Albania",3
"ALGERIE","Algerie",1
"AMERICA","america",1
"ANGOLA","Angola",1
"ARGENTINA","argentina",2
"ARGENTINA","Argentina",2
"ARGENTINE","Argentine",1
"ASIA","Asia",1
"AUSTRALIA","Australia",1
"AUSTRIA","Austria",1
"AZERBAYJAN","Azerbayjan",1
"BANGLADESH","Bangladesh",7
"BELARUS","Belarus",1
"BÉLGICA","Bélgica",1
"BELGIUM","Belgium",2
"BOLIVIA","Bolivia",3
"BOLIVIA","BOLIVIA",1
"BOSNIA","bosnia",1
"BOSNIA","Bosnia",1
"BOSNIA AND HERZEGOVINA","Bosnia and Herzegovina",1
"BRASIL","Brasil",5
"BRAZIL","Brazil",4
"BRITAIN","Britain",2
"BULGARIA","Bulgaria",1
"CALCUTTA INDIA","Calcutta india",1
"CAMBODIA","cambodia",1
"CAMEROUN","Cameroun",1
"CANADA","Canada",4
"CARRIBEAN","carribean",1
"CHILE","chile",2
"CHILE","Chile",5
"CHINA","china",3
"CHINA","China",22
"CIOACIA","Cioacia",1
"COLOMBIA","colombia",1
"COLOMBIA","Colombia",3
"COLOMBIAN","Colombian",1
"CONGO KINSHASA","Congo Kinshasa",1
"COSTA RICA","Costa Rica",1
"CROATIA","croatia",1
"CUBA","cuba",1
"CUBA","Cuba",5
"CYPRUS","Cyprus",4
"CZECH REPUBLIC","czech republic",1
"CZECH REPUBLIC","Czech Republic",1
"CZECHOSLOVAK SOCIALIST REPUBLIC","czechoslovak socialist republic",1
"DANMARK","Danmark",2
"DENMARK","Denmark",2
"DOMINICAN REPUBLIC","Dominican Republic",1
"DOMINIKANSKE REPUBLIKK","Dominikanske Republikk",1
"ECUADOR","Ecuador",1
"EGYPT","Egypt",7
"ENGLAND","england",4
"ENGLAND","England",26
"ENGLAND","ENGLAND",1
"ESPAÑA","españa",1
"ESPAÑA","España",2
"ESTADOS UNIDOS","Estados Unidos",1
"ETIOPIA","Etiopia",1
"EUROPE","europe",1
"EUROPE","Europe",1
"EX JUGOSLAVIA","Ex jugoslavia",1
"FIJI","Fiji",2
"FILIPINENE","filipinene",1
"FILIPINENE","Filipinene",1
"FILIPPINENE","Filippinene",3
"FINLAND","Finland",4
"FORETREKKER IKKE Å SVARE","foretrekker ikke å svare",1
"FRANCE","france",1
"FRANCE","France",7
"FRANCE","FRANCE",1
"FRANCIA","Francia",1
"FRANKRIKE","Frankrike",1
"GERMANY","germany",1
"GERMANY","Germany",9
"GERMANY (MILITARY)","Germany (military)",1
"GERMANY (PARENT ACTIVE DUTY MILITARY)","Germany (parent active duty military)",1
"GHANA","ghana",1
"GHANA","Ghana",5
"GUATEMALA","Guatemala",4
"GUYANA","Guyana",1
"HAITI","Haiti",2
"HELLAS","Hellas",1
"HK","hk",1
"HONG KONG","hong kong",3
"HONG KONG","Hong Kong",21
"HONG KONG","HONG KONG",1
"HONG KONG, CHINA","Hong Kong, China",1
"HUNGARY","Hungary",1
"INDIA","india",5
"INDIA","India",58
"INDIA","INDIA",1
"INDIAN","Indian",1
"INDONESIA","Indonesia",3
"IRAN","Iran",5
"IRAQ","Iraq",4
"IRELAND","ireland",1
"IRELAND","Ireland",2
"ISLAND","Island",1
"ISRAEL","Israel",2
"ITALIA","Italia",1
"ITALY","italy",3
"ITALY","Italy",8
"JAMAICA","Jamaica",1
"JAPAN","japan",1
"JAPAN","Japan",5
"JORDAN","Jordan",1
"KAZAKHSTAN","Kazakhstan",1
"KENYA","Kenya",2
"KIINA","Kiina",1
"KINA","Kina",1
"KOREA","korea",1
"KOREA","Korea",5
"KOSOVO","Kosovo",1
"KSA","KSA",1
"LATVIA","Latvia",7
"LEBANON","Lebanon",1
"LIBAN","Liban",1
"LITAUEN","Litauen",2
"LITHUANIA","Lithuania",2
"MACEDONIA","Macedonia",1
"MALAYSIA","malaysia",1
"MALAYSIA","Malaysia",5
"MALAYSIA","MALAYSIA",1
"MALTA","Malta",2
"MAURITIUS","Mauritius",2
"MEXICO","Mexico",3
"MEXICO","MEXICO",1
"MOROCCO","Morocco",1
"NEDERLAND","nederland",2
"NEDERLAND","Nederland",4
"NEPAL","nepal",1
"NEPAL","Nepal",10
"NETHERLANDS","Netherlands",5
"NEUVOSTOLIITTO","Neuvostoliitto",1
"NEW ZEALAND","new zealand",2
"NEW ZEALAND","New zealand",3
"NEW ZEALAND","New Zealand",16
"NIGERIA","nigeria",1
"NIGERIA","Nigeria",16
"PAKISTAN","pakistan",2
"PAKISTAN","Pakistan",22
"PAKOSTAN","Pakostan",1
"PALESTINE","Palestine",1
"PAPUA NEW GUINEA","Papua New Guinea",1
"PARAGUAY","paraguay",1
"PARAGUAY","Paraguay",5
"PAYS-BAS","Pays-Bas",1
"PÉROU","Pérou",1
"PERU","peru",1
"PERU","Peru",3
"PERU","PERU",1
"PERÚ","Perú",1
"PHILIPPINES","philippines",1
"PHILIPPINES","Philippines",30
"PHILIPPINES","PHILIPPINES",2
"POLAND","poland",1
"POLAND","Poland",11
"POLAND","POLAND",1
"POLEN","Polen",8
"POLSKA","Polska",2
"PORTUGAL","portugal",1
"PORTUGAL","Portugal",3
"PORTUGAL","PORTUGAL",1
"PUOLA","Puola",1
"ROMANIA","romania",2
"ROMANIA","Romania",4
"ROUMANIE","Roumanie",1
"ROYAUME-UNI","Royaume-Uni",1
"RUOTSI","Ruotsi",8
"RUOTSISSA","ruotsissa",1
"RUOTSISSA","Ruotsissa",3
"RUSSIA","Russia",9
"RUSSLAND","Russland",8
"SAUDI ARABIA","Saudi Arabia",1
"SCOTLAND","scotland",1
"SCOTLAND","Scotland",4
"SENEGAL","senegal",1
"SERBIA","Serbia",3
"SERBIA","SERBIA",1
"SIERRA LEONE","Sierra Leone",1
"SINGAPORE","singapore",3
"SINGAPORE","Singapore",5
"SINGAPORE","SINGAPORE",1
"SLOVAKIA","Slovakia",1
"SLOVAKIA","SLOVAKIA",1
"SLOVENIA","Slovenia",1
"SOLEIL ULTRA CIBLE","Soleil ultra cible",1
"SOMALIA","Somalia",1
"SØR KOREA","Sør Korea",1
"SØR-AFRIKA","Sør-Afrika",1
"SOUTH AFRICA","south africa",1
"SOUTH AFRICA","South africa",2
"SOUTH AFRICA","South Africa",9
"SOUTH KOREA","South korea",1
"SOUTH KOREA","South Korea",1
"SPANIA","Spania",1
"SRI LANKA","Sri Lanka",5
"SRI LNAKA","Sri lnaka",1
"SRILANKA","Srilanka",1
"SRILANKA","SriLanka",1
"STORBRITANNIA","Storbritannia",1
"STORBRITTANIA","Storbrittania",1
"SUOMI","suomi",1
"SVERIGE","sverige",1
"SVERIGE","Sverige",6
"SWAZILAND","Swaziland",1
"SWEDEN","sweden",1
"SWEDEN","Sweden",1
"SWITZERLAND","Switzerland",2
"SYRIA","Syria",1
"TAIWAN","taiwan",1
"TAIWAN","Taiwan",2
"TANZANIA","tanzania",1
"TANZANIA","Tanzania",5
"THAILAND","Thailand",2
"THE NETHERLANDS","The Netherlands",1
"THE PHILIPPINES","The Philippines",2
"TRINIDAD AND TOBAGO","Trinidad and Tobago",1
"TSJEKKIA","Tsjekkia",2
"TURKEY","Turkey",1
"TYRKIA","Tyrkia",3
"TYSKLAND","Tyskland",1
"UAE","uae",1
"UAE","UAE",1
"UGANDA","Uganda",3
"UK","uk",2
"UK","Uk",3
"UK","UK",2
"UKRAIN","Ukrain",1
"UKRAINA","Ukraina",1
"UKRAINASSA","Ukrainassa",1
"UKRAINE","Ukraine",8
"UNITED ARAB EMIRATES","United arab emirates",1
"UNITED KINGDOM","United Kingdom",11
"UNITED STATES","United States",1
"UNITED STATES","UNITED STATES",1
"UNITED STATES OF AMERICA","United States of America",1
"URUGUAY","Uruguay",3
"USA","usa",1
"USA","Usa",1
"USA","USA",11
"USSR","ussr",1
"USSR","USSR",1
"UZBEKISTAN","Uzbekistan",1
"VENÄJÄ","venäjä",1
"VENÄJÄ","Venäjä",3
"VENÄJÄ (INKERINMAA)","Venäjä (Inkerinmaa)",1
"VENÄJÄN KARJALASSA","Venäjän Karjalassa",1
"VENEZUELA","venezuela",2
"VENEZUELA","Venezuela",11
"VENEZUELA","VENEZUELA",2
"VIET NAM","Viet Nam",1
"VIETNAM","vietnam",2
"VIETNAM","Vietnam",6
"VIETNANM","Vietnanm",1
"VIL IKKE","Vil ikke",1
"VIRO","Viro",4
"WALES","Wales",1
"YHDYSVALLOISSA","Yhdysvalloissa",1
"ZAMBIA","Zambia",1
"ZIMBABWE","zimbabwe",3
"ZIMBABWE","Zimbabwe",4
